연도,지역,장마일수,강수일수,합계강수량,폭염일수
1999,전북,34,11,202.9428571,7.6
2000,전북,26,13,251.3714286,10.7
2001,전북,30,16,398.9571429,13.7
2002,전북,31,16,202.1428571,5.1
2003,전북,33,26,685.7714286,2
2004,전북,24,15,272.2857143,16.9
2005,전북,23,15,389.1571429,9.9
2006,전북,39,29,559.4,18.6
2007,전북,34,20,322.5714286,12
2008,전북,40,22,315.1714286,11.7
2009,전북,44,28,614.8,4.1
2010,전북,41,27,355.8571429,14.1
2011,전북,31,21,451.9714286,7.7
2012,전북,30,15,330.9285714,16.4
2013,전북,46,32,462.8142857,20.6
2014,전북,28,18,206,3.9
1996,충남,29,16,292.88,18.2
1997,충남,28,13,524.6,15.3
1998,충남,34,21,410.88,2
1999,충남,18,5,129.24,7.2
2000,충남,28,16,221.98,12.2
2001,충남,39,16,362.78,12.8
2002,충남,32,14,241.02,4
2003,충남,33,25,538.52,0.3
2004,충남,24,13,331.68,15.7
2005,충남,23,15,342.62,6.8
2006,충남,39,30,549.36,10
2007,충남,39,22,353.12,6.8
2008,충남,40,18,354.14,7.5
2009,충남,24,19,393.06,1
2010,충남,33,19,319.76,9.8
2011,충남,26,21,806.64,4.3
2012,충남,19,12,271.56,14.5
2013,충남,49,31,396.26,11.3
2014,충남,28,16,148,4.2
1996,충북,29,17,268.8,15.6
1997,충북,28,12,458.18,8.2
1998,충북,34,22,427.82,1
1999,충북,18,4,129.68,4.2
2000,충북,28,16,243.5,10
2001,충북,39,21,351,12
2002,충북,32,15,201.82,3.4
2003,충북,33,24,616.74,0
2004,충북,24,14,375.08,14.4
2005,충북,23,18,376.66,6
2006,충북,39,31,749.3,12.8
2007,충북,39,22,401.98,5
2008,충북,40,22,334.22,10.6
2009,충북,24,21,404.52,1.8
2010,충북,33,18,190.28,10.2
2011,충북,26,22,738.02,2
2012,충북,19,13,274.82,12.4
2013,충북,49,33,469.24,11
2014,충북,28,15,104.8,6.2
